experiment_id,config_id,collection,dataset,model,pretrained,k,subset_seed,train_seed,augmentation,epochs,best_epoch,train_acc_at_best,best_val_acc,test_acc,gap_train_val,test_loss,guided_mode,neighbor_file,neighbor_k,neighbor_rank_window,pair_sampling,mixup_alpha,cutmix_alpha,mix_prob,mix_warmup_epochs,anchor_selection,anchor_top_pct,anchor_score_power,summary_path,metrics_path,best_model_path
cifar100/resnet50/k100/augmix/e100_s0_t0_c3356bf1f,3356bf1f,cifar100,cifar100,resnet50,False,100,0,0,augmix,100,98,0.9425,0.4762,0.4751,0.4663,2.40539,,,,,,0.1,,,,,,,results/comparison_v1/scratch/cifar100/resnet50/k100/augmix/e100_s0_t0_c3356bf1f/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k100/augmix/e100_s0_t0_c3356bf1f/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k100/augmix/e100_s0_t0_c3356bf1f/checkpoint_best.pt
cifar100/resnet50/k100/cutmix/e100_s0_t0_c3171c598,3171c598,cifar100,cifar100,resnet50,False,100,0,0,cutmix,100,86,0.609402,0.4406,0.432,0.168802,2.30246,,,,,,0.1,,,,,,,results/comparison_v1/scratch/cifar100/resnet50/k100/cutmix/e100_s0_t0_c3171c598/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k100/cutmix/e100_s0_t0_c3171c598/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k100/cutmix/e100_s0_t0_c3171c598/checkpoint_best.pt
cifar100/resnet50/k100/mixup/e100_s0_t0_c1a3b2176,1a3b2176,cifar100,cifar100,resnet50,False,100,0,0,mixup,100,76,0.417059,0.4084,0.4183,0.00865866,2.27554,,,,,,1,,,,,,,results/comparison_v1/scratch/cifar100/resnet50/k100/mixup/e100_s0_t0_c1a3b2176/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k100/mixup/e100_s0_t0_c1a3b2176/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k100/mixup/e100_s0_t0_c1a3b2176/checkpoint_best.pt
cifar100/resnet50/k100/none/e100_s0_t0_c139a9374,139a9374,cifar100,cifar100,resnet50,False,100,0,0,none,100,58,0.976,0.4182,0.4196,0.5578,3.14124,,,,,,0.1,,,,,,,results/comparison_v1/scratch/cifar100/resnet50/k100/none/e100_s0_t0_c139a9374/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k100/none/e100_s0_t0_c139a9374/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k100/none/e100_s0_t0_c139a9374/checkpoint_best.pt
cifar100/resnet50/k100/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_cfdc67678,fdc67678,cifar100,cifar100,resnet50,False,100,0,0,simcutmix,100,83,0.560784,0.464,0.4616,0.0967838,2.07047,class_agnostic,neighbors_class_agnostic_K40.pt,20,21-40,uniform,1,,1,0,,,,results/comparison_v1/scratch/cifar100/resnet50/k100/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_cfdc67678/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k100/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_cfdc67678/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k100/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_cfdc67678/checkpoint_best.pt
cifar100/resnet50/k100/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c1c40e35e,1c40e35e,cifar100,cifar100,resnet50,False,100,0,0,simmixup,100,76,0.640461,0.442,0.446,0.198461,2.2468,class_agnostic,neighbors_class_agnostic_K40.pt,20,21-40,uniform,1,,1,0,,,,results/comparison_v1/scratch/cifar100/resnet50/k100/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c1c40e35e/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k100/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c1c40e35e/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k100/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c1c40e35e/checkpoint_best.pt
cifar100/resnet50/k20/augmix/e100_s0_t0_c8bf20edf,8bf20edf,cifar100,cifar100,resnet50,False,20,0,0,augmix,100,91,0.097,0.077,0.0739,0.02,4.07862,,,,,,0.1,,,,,,,results/comparison_v1/scratch/cifar100/resnet50/k20/augmix/e100_s0_t0_c8bf20edf/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k20/augmix/e100_s0_t0_c8bf20edf/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k20/augmix/e100_s0_t0_c8bf20edf/checkpoint_best.pt
cifar100/resnet50/k20/cutmix/e100_s0_t0_c41c5c2ae,41c5c2ae,cifar100,cifar100,resnet50,False,20,0,0,cutmix,100,82,0.315531,0.1456,0.1489,0.169931,3.88603,,,,,,0.1,,,,,,,results/comparison_v1/scratch/cifar100/resnet50/k20/cutmix/e100_s0_t0_c41c5c2ae/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k20/cutmix/e100_s0_t0_c41c5c2ae/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k20/cutmix/e100_s0_t0_c41c5c2ae/checkpoint_best.pt
cifar100/resnet50/k20/mixup/e100_s0_t0_c644bf1db,644bf1db,cifar100,cifar100,resnet50,False,20,0,0,mixup,100,77,0.213815,0.1324,0.1367,0.0814154,3.92046,,,,,,1,,,,,,,results/comparison_v1/scratch/cifar100/resnet50/k20/mixup/e100_s0_t0_c644bf1db/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k20/mixup/e100_s0_t0_c644bf1db/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k20/mixup/e100_s0_t0_c644bf1db/checkpoint_best.pt
cifar100/resnet50/k20/none/e100_s0_t0_cbe7e36c5,be7e36c5,cifar100,cifar100,resnet50,False,20,0,0,none,100,52,0.724,0.1688,0.1626,0.5552,4.6532,,,,,,0.1,,,,,,,results/comparison_v1/scratch/cifar100/resnet50/k20/none/e100_s0_t0_cbe7e36c5/summary.json,results/comparison_v1/scratch/cifar100/resnet50/k20/none/e100_s0_t0_cbe7e36c5/metrics.csv,results/comparison_v1/scratch/cifar100/resnet50/k20/none/e100_s0_t0_cbe7e36c5/checkpoint_best.pt
